0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2790,,1768,,1579,,,1274,,,,0,,,,,,,,,,,,1423,,,,1325,,,,,,,,,,,,,,,,,,,322,,,,,,,,1784,,,,,,,,2850,1352,,,,,,,1529,,,,1515,1454,1713,,,,,,,,,,,,2951,,,,,,,,,1634,2243,,,,,,,,,,,,,,,,,,,,,1134,,,,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,899,,,,,,,,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2356,,2071,,,,,,1120,,,0,,,,,,,,,,,1155,,,,,,,,1962,,2519,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247,,,,,,,,,,,,,,,,,,,,,,,,,1861,,,,1344,,,,,,,,,,,,,,,,,725,,,,,,,,3698,,,,,,,,,,1142,,,,,,,,,,,,,,,,,,,,,,,,
,2796,,1590,499,1206,,,831,695,,,,,,0,949,,,584,,1288,,,,,884,,,,616,,,,,1480,,,834,,847,,,,,,,1611,,1636,,,,,,,,,,,,,,,,,,,,,,1035,1582,,,888,,,,,,,,,,,,,,2998,,,,,,1296,,1389,,1002,,,,,,,,873,,,,1663,,,,1172,,,,,,,,,897,723,,,,,,,,,,1679,,,,,,,,,,1155,749,1641,,888,,,,3073,,,,,,743,,,,,,1121,,,,,,1116,841,,,,,,,1236,,,,,,,,
,,,,,,,,,,,,,,,949,0,,,,,,,,,,,,,,,,,,,,1127,,736,,,,,,,,,,,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1583,,1393,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,,,,,,,,,,,,,1048,,,,,,,,,,,,,,,,,,,,,2784,,,,,,,,,1448,2111,,,,,,,,,,,,,,,,,,,,,,,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2093,,1792,,,,,,823,,,,,,,0,,,,,,,,,,,,,,,1717,,2289,,,,,,,,,,,,1001,,847,,,,,,2204,,,,,,,,3304,,,,,1318,,,,,,,,,,,,,,,,,,,2095,,3426,,,,,,1678,,737,,,,,,,,,,,,,814,1852,,,,,,,,,,,,,1570,,,500,,,,,,,,,1057,,,,,,,1756,,593,,,,,,,,3472,,1213,,1283,,,,,,859,,,,1094,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,761,,,,584,,,,0,,,,,,,1468,,,,687,,,,,,355,,1405,,,,,,,,,2193,,,,,,,,,383,,1089,,,,,,,,742,,,,1225,,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,1376,,,,,1417,,,,,,,,,,,,,,,,,,,,,594,,,,,,,,,,,,,,,,,1732,,,,1274,,,,,,,,,,,,865,585,622,,1471,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2654,,1641,,1466,,,,,,1111,,,,1288,,,,,,0,,,,1642,,,,1005,,,,,,2767,,,,,,,,,,,,331,,,,768,,,,1650,,,,,,,,,1454,,,,1133,,,1427,,,,,,1818,,,,,,,,677,,,,2815,,,,,,,,,,2201,,,,,,,498,,,,,,,,,,,,,,,,,,1382,,1342,,,,,,,,,,,,,1738,,,,,,,,,,,,,,2842,,,,,,,,,,1267,,1334,,,,,,1600,1361,,,,,,,,,,,,,,1283,
